att_1,att_2,att_3,att_4,att_5,att_6,att_7,att_8,att_9,att_10,att_11,Class
0.7,0.68,0.32,0.12,0.71,0.85,0.44,0.9,0.83,0,29.92,B
0.95,0.73,0.25,0.05,0.29,0.98,0.69,0.07,0.96,0.72,31.86,A
0.73,0.93,0.33,0.01,0.33,0.88,0.92,0.73,0.43,0.57,32.34,A
0.06,0.92,0.27,0.07,0.08,0.95,0.58,0.56,0.21,0.42,23.67,B
0.93,0.28,0.19,0.76,1,0.95,0.37,0.48,0.32,0.09,25.95,A
0.92,0.23,0.79,0.33,0.51,0.73,0.74,0.37,0.38,0.6,29.62,A
0.63,0.19,0.36,0.27,0.68,0.34,0.6,0.29,0.73,0.5,26.59,A
0.45,0.09,0.03,0.06,0.37,0.91,0.43,0.87,0.51,0.26,25.45,B
0.23,0.66,0.62,0.7,0.05,0.17,0.46,0.97,0.95,0.14,28.39,B
0.32,0.81,0.66,0.88,0.93,0.25,0.4,0.95,0.62,0.44,33.97,A
0.09,0.29,0.36,0.45,0.75,0.84,0.33,0.19,0.06,0.15,18.17,B
0.19,0.77,0.5,0.95,0.83,0.89,0.38,0.09,0.33,0.66,29.51,A
0.63,0.71,0.88,0.64,0.47,0.2,0.22,0.31,0.45,0.95,28.43,A
0.76,0.74,0.01,0.45,0.23,0.21,0.87,0.7,0.54,0.05,23.65,B
0.39,0.98,0.35,0.76,0.11,0.66,0.06,0.7,0.7,0.04,23.63,B
0.11,0.28,0.4,0.16,0.4,0.88,0.13,0.36,0.57,0.37,22.44,B
0.76,0.8,0.47,0.13,0.66,0.56,0.18,0.1,0.92,0.64,27.64,A
0.6,0.74,0.32,0.05,0.82,0.79,0.2,0.53,0.96,0.38,30.29,A
0.32,0.18,0.98,0.93,0.2,0.49,0.28,0.37,0.85,0.35,27.22,A
0.05,0.86,0.35,0.72,0.65,0.55,0.46,0.93,0.03,0.53,28.51,B
0.84,0.09,0.92,0.7,0.49,0.92,0.39,0.66,0.13,0.33,27.03,A
0.6,0.33,0.09,0.4,0.57,0.3,0.86,0.17,0.9,0.66,29.9,A
0.69,0.89,0.08,0.64,0.74,0.39,0.67,0.64,0.89,0.87,37.84,A
0.54,0.01,0.22,0.17,0.9,0.05,0.72,0.31,0.9,0.24,24.8,B
0.82,0.13,0.59,0.29,0.38,0.88,0.75,0.23,0.33,0.2,23.13,A
0.4,0.81,0.2,0.35,0.58,0.31,0.5,0.83,0.98,0.84,36.13,A
0.92,0.11,0.46,0.08,0.6,0.41,0.39,0.74,0.03,0.26,19.78,B
0.02,0.68,0.21,0.88,0.97,0.96,0.76,0.49,0.51,0.09,30.89,B
0.43,0.34,0.28,0.6,0.39,0.13,0.26,0.42,0.78,0.98,29.08,A
0.6,0.35,0.37,0.04,0.2,0.91,0.35,0.7,0.74,0.22,25.92,B
0.31,0.99,0.35,0.45,0.97,0.52,0.97,0.73,0.65,0.86,40.24,A
0.83,0.53,0.8,0.23,0.83,0.42,0.97,0.1,0.69,0.26,28.25,A
0.95,0.68,0.93,0.64,0.25,0.81,0.96,0.78,0.25,0.86,37.69,A
0.16,0.02,0.76,0.55,0.38,0.57,0.14,0.54,0.18,0.13,18.25,B
0.78,0.14,0.05,0.52,0.69,0.01,0.34,0.06,0.74,0.87,24.97,B
0.38,0.06,0.25,0.01,0.74,0.35,0.53,0.29,0.8,0.15,21.78,B
0.25,0.43,0.28,0.35,0.02,0.37,0.86,0.46,0.27,1,27.74,B
0.09,0.83,0.67,0.41,0.65,0.91,0.31,0.72,0.58,0.09,28.06,A
0.37,0.96,0.91,0.38,0.43,0.67,0.45,0.1,0.75,0.4,27.43,A
0.72,0.98,0.27,0.26,0.12,0.75,0.27,0.88,0.84,0.45,30.54,A
0.65,0.05,0.45,0.87,0.44,0.25,0.17,0.36,0.06,0.38,17.69,B
0.85,0.05,0.93,0.31,0.72,0.16,0.92,0.86,0.46,0.4,30.92,A
0.32,0.29,0.47,0.33,0.87,0.86,0.89,0.47,0.88,0.81,39.16,A
0.85,0.85,0.11,0.95,0.35,0.4,0.5,0.59,0.15,0.05,20.83,B
0.35,0.87,0.04,0.08,0.94,0.82,0.67,0.59,0.81,0.87,37.53,A
0.89,0.96,0.32,0.91,0.95,0.39,0.8,0.71,0.44,0.6,35.79,A
0.1,0.53,0.46,0.1,0.06,0.82,0.56,0.84,0.62,0.24,26.71,B
0.06,0.46,0.61,0.82,0.51,0.43,0.18,0.5,0.78,0.41,27.53,A
0.83,0.66,0.63,0.49,0.48,0.44,0.42,0.81,0.15,0.21,23.95,A
0.27,0.64,0.15,0.19,0.6,0.84,0.63,0,0.7,0.42,25.7,B
0.28,0.18,0.33,0.18,0.04,0.49,0.85,0.67,0.78,0.17,25.44,B
0.78,0.19,0.57,0.89,0.25,0.91,0.26,0.57,0.63,0.7,32.28,A
0.01,0.46,0.12,0.03,0.79,0.39,0.87,0.91,0.49,0.02,25.7,B
0.44,0.79,0.69,0.55,0.14,0.72,0.05,0.24,0.43,0.06,18.16,B
0.69,0.34,0.68,0.9,0.14,0.46,0.19,0.14,0.54,0.48,22.64,B
0.41,0.64,0.21,0.37,0.56,0.6,0.85,0.44,0.84,0.53,32.58,A
0.53,0.22,0.64,0.79,0.65,0.85,0.66,0.06,0.77,0.16,28.02,A
0.44,0.54,0.78,0.2,0.58,0.2,0.32,0.35,0.02,0.21,15.98,B
0.91,0.47,0.11,0.02,0.57,0.74,0.07,0.87,0.94,0.17,27.07,B
0.89,0.02,0.39,0.51,0.24,0.8,0.46,0.19,0.64,0.06,21.16,B
0.85,0.3,0.29,0.38,0.46,0.39,0.07,0.67,0.95,0.42,27.03,A
0.31,0.14,0.33,0.38,0.79,0.85,0.97,0.44,0.37,0.55,31.27,A
0.28,0.35,0.74,0.2,0.32,0.52,0.12,0.79,0.1,0.33,20.12,B
0.08,0.74,0.41,0.06,1,0.84,0.54,0.79,0.58,0.25,30.85,A
0.67,0.59,0.51,0.42,0.99,0.56,0.76,0.64,0.31,0.33,29.84,A
0.69,0.29,0.65,0.54,0.08,0.14,0.19,0.78,0.41,0.08,18.64,B
0.29,0.53,0.41,0.32,0.84,0.11,0.1,0.18,0.6,0.91,25.36,B
0.86,0.61,0.99,0.86,0.89,0.22,0.42,0.02,0.74,0.38,27.83,A
0.39,0.07,0.37,0.07,0.29,0.17,0.83,0.65,0.74,0.57,27.88,B
0.05,0.1,0.79,0.77,0.88,0.98,0.44,0.6,0.64,0.87,38.4,A
0.48,0.37,0.59,0.37,0.3,0.97,0.75,0.59,0.9,0.36,33.53,A
0.07,0.55,0.49,0.16,0.69,0.27,0.87,0.72,0.37,0.37,27.15,B
0.78,0.33,0.66,0.27,0.24,0.35,0.35,0.29,0.99,0.21,23.61,A
0.38,0.8,0.98,0.78,0.84,0.07,0.74,0.75,0.22,0.36,29.59,A
0.46,0.19,0.82,0.69,0.24,0.68,0.79,0.18,0.66,0.61,30.41,A
0.68,0.97,0.74,0.9,0.41,0.23,0.33,0.76,0.25,0.25,25.08,A
0.84,0.64,0.84,0.38,0.54,0.64,0.99,0.95,0.41,0.27,33.75,A
0.17,0.61,0.86,0,0.42,0.02,0.8,0.42,0.93,0.93,32.74,B
0.48,0.05,0.38,0.54,0.58,0.43,0.27,0.18,0.08,0.76,20.96,B
0.65,0.2,0.77,0.92,0.41,0.33,0.61,0.21,0.15,0.5,23.35,A
0.74,0.97,0.74,0.8,0.65,0.9,0.53,0.72,0.22,0.43,32.53,A
0.46,0.65,0.09,0.33,0.67,0.6,0.19,0.35,0.01,0.75,22.09,B
0.94,0.93,0.24,0.42,0.7,0.47,0.88,0.07,0.96,0.9,35.99,A
0.69,0.7,0.08,0.56,0.78,0.39,0.22,0.73,0.82,0.38,29.24,A
0.74,0.19,0.45,0.18,0.67,0.74,0.49,0.78,0.72,0.57,32.8,A
0.97,0.85,0.52,0.21,0.33,0.5,0.94,0.19,0.55,0.14,24.15,A
0,0.19,0.38,0.52,0.03,0.88,0.01,0.53,0.78,0.91,29.5,B
0.08,0.29,0.97,0.09,0.02,0.63,0.83,0.05,0.39,0.75,25.04,B
0.65,0.34,0.42,0.18,0.57,0.5,0.95,0.86,0.92,0.44,35.37,A
0.18,0.89,0.95,0.37,0.14,0.13,0.72,0.52,0.59,0.44,26.71,A
0.82,0.78,0.02,0.28,0.86,0.69,0.6,0.15,0.21,0.95,28.68,B
0.05,0.39,0.5,0.64,0.77,0.52,0.2,0.23,0.12,0.14,17.56,B
0.95,0.15,0.42,0.32,0.9,0.02,0.65,0.17,0.94,0.39,26.72,B
0.93,0.66,0.65,0.34,0.74,0.9,0.12,0.34,0.73,0.39,28.63,A
0.97,0.65,0.26,0.05,0.46,0.29,0.05,0.88,0.84,0.75,29.67,B
0.14,0.34,0.25,0.29,0.45,0.8,0.61,0.03,0.91,0.78,30.15,B
0.73,0.91,0.11,0.29,0.34,0.36,0.17,0.89,0.13,0.19,19.41,B
0.76,0.66,0.95,0.78,0.28,0.03,0.44,0.13,0.8,0.86,29.54,A
0.16,0.53,0.21,0.91,0.07,0.83,0.69,0.61,0.65,0.13,27.67,B
0.94,0.69,0.14,0.15,0.44,0.41,0.27,0.05,0.26,0.07,13.41,B
0.41,0.61,0.79,0.8,0.22,0.4,0.24,0.29,0.39,0.35,21.68,A
0.56,0.36,0.3,0.69,0.97,0.54,0.48,0.04,0.07,0.58,23.16,B
0.14,0.24,0.98,0.65,0.71,0.68,0.12,0.57,0.48,1,33.49,A
0.41,0.36,0.93,0.54,0.97,0.61,0.37,0.66,0.68,0.3,31.65,A
0.42,0.31,0.93,0.89,0.19,0.78,0.36,0.57,0.77,0.67,33.72,A
0.07,0.58,0.08,0.75,0.9,0.3,0.81,0.86,0.05,0.11,24.85,B
0.28,0.14,0.26,0.43,0.59,0.81,0.89,0.1,0.26,0.08,21.04,B
0.16,0.55,0.78,0.22,0.24,0.76,0.81,0.38,0.61,0.17,26.12,A
0.05,0.49,0.03,0.81,0.83,0.61,0.5,0.68,0.48,0.44,29.84,B
0.34,0.98,0.37,0.96,0.65,0.69,0.14,0.97,0.7,0.08,30.41,A
0.92,0.74,0.52,0.36,0.32,0.23,0.16,0.24,0.96,0.21,22.2,A
0.74,0.65,0.44,0.22,0.96,0.64,0.12,0.45,0.08,0.85,26.56,A
0.91,0.13,0.29,0.66,0.01,0.46,0.66,0.34,0.6,0.2,22.19,B
0.04,0.8,0.56,0.2,0.35,0.56,0.31,0.9,0.35,0.9,30.75,A
0.77,0.39,0.12,0.37,0.91,0.31,0.65,0.84,0.88,0.26,31.66,A
0.31,0.64,0.7,0.44,0.2,0.77,0.38,0.59,0,0.11,19.5,B
0.61,0.23,0.37,0.19,0.88,0.22,0.87,0.01,0.29,0.69,24.32,B
0.45,0.18,0.01,0.73,0.91,0.5,0.67,0.05,0.52,0.02,21.28,B
0.21,0.72,0.3,0.13,0.7,0.68,0.48,0.32,0.73,0.81,31.23,A
0.27,0.56,0.87,0.71,0.18,0.94,0.61,0.9,0.9,0.89,41.85,A
0.91,0.42,0.51,0.43,0.11,0.12,0.86,0.63,0.71,0.87,32.44,A
0.99,0.51,0.14,0.17,0.01,0.18,0.62,0.66,0.2,0.46,20.16,B
0.46,0.45,0.78,0.96,0.47,0.57,0.58,0.13,0.98,0.28,29.99,A
0.6,0,0.31,0.4,0.94,0.46,0.54,0.14,0.06,0.32,19.23,B
0.36,0.32,0.22,0.19,0.94,0.27,0.79,0.34,0.49,0.84,29.82,A
0.94,0.09,0.27,0.85,0.82,0.12,0.69,0.54,0.99,0.16,29.86,A
0.09,0.62,0.62,0.13,0.99,0.26,0.23,0.47,0.05,0.03,16.38,B
0.21,0.39,0.91,0.19,0.06,0.77,0.52,0.22,0.42,0.2,20.53,B
0.95,0.59,0.48,0.72,0.13,0.59,0.42,0.84,0.55,0.9,34.1,A
0.82,0.03,0.31,0.25,0.34,0.71,0.42,0.26,0.11,0.34,18.18,B
0.52,0.51,0.89,0.2,0.38,0.02,0.66,0.94,0.53,0.63,30.16,A
0.02,0.71,0.11,0.85,0.41,0.14,0.32,0.73,0.14,0.41,21.49,B
0.37,0.23,0.28,0.45,0.22,0.72,0.65,0.41,0.27,0.88,27.96,A
0.72,0.83,0.13,0.85,0.04,0.97,0.96,0.37,0.46,0.08,26.77,B
0.9,0.17,0.6,0.3,0.12,0.74,0.9,0.23,0.36,0.13,21.95,B
0.9,0.87,0.88,0.55,0.55,0.74,0.76,0.81,0.97,0.03,35.49,A
0.13,0.84,0.3,0.52,0.22,0.4,0.43,0.36,0.31,0.57,22.6,B
0.05,0.83,0.22,0.76,0.52,0.96,0.02,0.23,0.74,0.38,26.25,B
0.23,0.75,0.76,0.65,0.08,0.03,0.7,0.67,0.83,0.27,27.65,B
0,0.92,0.18,0.28,0.12,0.97,0.83,0.86,0.61,0.07,28.85,B
0.87,0.07,0.15,0.43,0.25,0.89,0.62,0.99,0.64,0.89,36.71,A
0.59,0.79,0.88,0.54,0.81,0.59,0.44,1,0.62,0.36,34.83,A
0.96,0.73,0.89,0.72,0.82,0.48,0.87,0.33,0.49,0.72,35.3,A
0.52,0.46,0.23,0.81,0.57,0.17,0.5,1,0.96,0.17,31.01,A
0.27,0.13,0.65,0.24,0.98,0.78,0.04,0.01,0.33,0.11,17.54,B
0.17,0.44,0.58,0.65,0.62,0.65,0.43,0.44,0.12,0.22,22.24,B
0.72,0.87,0.12,0.54,0.81,0.75,0.71,0.34,0.87,0.85,37.52,A
0.73,0.4,0.59,0.15,0.46,0.01,0.08,0.96,0.29,0.43,21.4,B
0.87,0.6,0.14,0.86,0.05,0.79,0.64,0.8,0.8,0.42,33.14,A
0.99,0.37,0.25,0.38,0.39,0.86,0.46,0.98,0.83,0.18,31.48,A
0.71,0.35,0.71,0.97,0.4,0.82,0.35,0.78,0.61,0.18,30.31,A
0.24,0.11,0.46,0.84,0.37,0.35,0.5,0.55,0.58,0.54,27.69,A
0.78,0.02,0.46,0.02,0.18,0.8,0.3,0.98,0.37,0.14,22.55,B
0.52,0.64,0.53,0.23,0.98,0.8,0.55,0.58,0.24,0.5,29.62,A
0.21,0.59,0.58,0.29,0.18,0.14,0.02,0.69,0.04,0.89,20.96,B
0.22,0.58,0.15,0.45,0.11,0.68,0.54,0.76,0.16,0.14,20.99,B
0.14,0.03,0.6,0,0.85,0.21,0.97,0.45,0.3,0.32,23.82,B
0.47,0.55,0.99,0.31,0.02,0.87,0.72,0.57,0.63,0.61,32.43,A
0.79,0.6,0.03,0.17,0.4,0.9,0.19,0.93,0.15,0.76,27.83,B
0.05,0.09,0.49,0.04,0.76,0.7,0.63,0.71,0.33,0.73,30.27,B
0.85,0.7,0.91,0.37,0.3,0.12,0.48,0.06,0.16,0.14,15.4,B
0.47,0.06,0.08,0.3,0.61,0.95,0.26,0.92,0.73,0.01,26.63,B
0.35,0.61,0.38,0.77,0.77,0.33,0.47,0.08,0.06,0.93,25.4,B
0.39,0.3,0.9,0.13,0.67,0.39,0.71,0.35,0.56,0.12,23.82,B
0.19,0.91,0.51,0.82,0.45,0.21,0.9,0.63,0.97,0.03,30.66,A
0.16,0.57,0.63,0.94,0.54,0.48,0.16,0.76,0.51,0.69,31.32,A
0.09,0.76,0.04,0.28,0.66,0.58,0.75,0.46,0.55,0.42,27.79,B
0.53,0.78,0.09,0.04,0.89,0.49,0.54,0.44,0.64,0.21,25.19,B
0.94,0.15,0.27,0.14,0.47,0.17,0.9,0.2,0.43,0.1,18.76,B
0.86,0.6,0.13,0.04,0.32,0.61,0.94,0.29,0.22,0.57,24.52,B
0.18,0.31,0.48,0.88,0.92,0.37,0.79,0.84,0.24,0.94,36.25,A
0.16,0.73,0.48,0.12,0.47,0.5,0.15,0.57,0.43,0.46,22.96,B
0.83,0.93,0.07,0.3,0.5,0.3,0.48,0.35,0.76,0.2,23.52,B
0.67,0.88,0.34,0.23,0.03,0.47,0.4,0.1,0.32,0.58,19.7,B
0.43,0.15,0.05,0.28,0.1,0.44,0.61,0.62,0.01,0.23,16.64,B
0.77,0.47,0.4,0.71,0.89,0.48,0.4,0.37,0.6,0.81,32.42,A
0.65,0.98,0.94,0.1,0.39,0.79,0.52,0.5,0.44,0.52,29.32,A
